,,,,subtopic extraction,,poc,,
,analysis,Why is it difficult to determine how much forestland is available in the State to be used in a carbon market?,It may be difficult to determine how much forestland is available in the State to be used in a carbon market because of risk preferences of forestland owners could impact the willingness to participate77,green finance,carbon',green finance,Climate Policy',
,science&tech,What must be considered when constructing a passive building to ensure occupant comfort?,"When constructing a passive building, occupants' comfort should be catered for, subject to local climatic conditions and climate change1",decarbonization,roofs',decarbonization,Green Architecture',
,science&tech,What are the primary materials used in the construction of passive buildings?,"The primary materials used in the construction of passive buildings are walls, roofs, doors, windows and other openings2",decarbonization,roofs',decarbonization,Green Architecture',
,science&tech,What is the lifecycle cost of a conventional building compared with that of a a passive building?,"The primary materials used in the construction of passive buildings are walls, roofs, doors, windows and other openings3",decarbonization,roofs' 'costing',decarbonization,Green Architecture' 'Cost Analysis',
,science&tech,What is the lifecycle cost of a conventionalbuilding compared with that ofa a passive building?,The lifecycle cost of a passive building may be lower than that of a conventional building due to reduced energy consumption4,decarbonization,costing' 'roofs' 'renewables' 'emissions',decarbonization,"Cost Analysis' 'Green Architecture' 'Clean Energy'
 'Environmental Sustainability'",
,strategy,What is one reason why many countries have not yet initiated moves towards incorporating more passive buildings into their societies?,One reason why many countries have not yet initiated moves towards incorporating more passive buildings into their societies is lack general awareness and standards related to Passive Building Construction5,decarbonization,roofs',decarbonization,Green Architecture',
,strategy,What are passive buildings proving to be a solution for?,Passive buildings are proving to be a solution for the menaces of energy crisis and greenhouse gas emissions across the world7,decarbonization,roofs' 'renewables' 'emissions',decarbonization,Green Architecture' 'Clean Energy' 'Environmental Sustainability',
,science&tech,How do passive buildings exhibit low energy demand?," Passive buildings exhibit low energy demand owing to their cleverly designed envelopes, which comprise of walls, roofs, doors, windows and other openings8",decarbonization,roofs',decarbonization,Green Architecture',
,analysis,Are lifecycle costs higher or lower in relation to conventional building when it comes to passive building construction?,The lifecycle cost of a passive building may be lower than that of a conventional building due to reduced energy consumption9,decarbonization,roofs' 'costing' 'renewables',decarbonization,Green Architecture' 'Cost Analysis' 'Clean Energy',
,science&tech,Does climatic adaptability need consideration in the design of passive buildings?,"Yes, climate adaptability needs consideration in the design of passives buildings in order to cater to occupants comfort which is subject to local climatic conditions and climate change10",decarbonization,roofs',decarbonization,Green Architecture',
,science&tech,How do passive buildings exhibit low energy demand?,"Passive buildings exhibit low energy demand owing to their cleverly designed envelopes, which comprise of walls, roofs, doors, windows and other openings11",decarbonization,roofs',decarbonization,Green Architecture',
,analysis,Are lifecycle costs higher or lower in relation to conventional building when it comes to passive building construction?,The lifecycle cost of a passive building may be lower than that of a conventional building due to reduced energy consumption12,decarbonization,roofs' 'costing' 'renewables',decarbonization,Green Architecture' 'Cost Analysis' 'Clean Energy',
,strategy,What is the impact of unsustainable development on energy demand?,"Unsustainable development in the post-industrial revolution era has resulted in an ever-growing energy demand and greenhouse gas emissions, across all sectors including buildings, transport and industries14",decarbonization,emissions' 'renewables',decarbonization,Environmental Sustainability' 'Clean Energy',
,ethics & reg,What was the outcome of 196 parties entering into Paris Agreement of 2015?,The 196 parties that entered into the Paris Agreement of 2015 agreed that global mean temperature rise be restricted to 2C over a century15,decarbonization,carbon' 'emissions',decarbonization,Climate Policy' 'Environmental Sustainability',
,strategy,What are two types strategies that can be used to improve efficiency of buildings?,Two types strategies to improve efficiency among buildings are active or passive strategies Active strategies involve using renewable technologies such as solar power while passive strategies involve using naturally available resources such as sunlight and ventilation without additional mechanical systems17,decarbonization,roofs' 'renewables' 'sustainable',decarbonization,Green Architecture' 'Clean Energy' 'Sustainable Cities',
,strategy,How has population growth impacted Buildings share globally?,Population growth has lead to rapid growth in Buildings shares for developing countries compared to developed nations like US & Europe during 1990 -2010  This increased Urbanization impacts Energy Consumption & Greenhouse Gas Emissions from Building Construction Industry 18,decarbonization,emissions' 'sustainable',decarbonization,Environmental Sustainability' 'Sustainable Cities',
,analysis,What percentage of energy and emissions does buildings and building construction industry account for globally as of 2021?,"Globally as of 2021, buildings and building construction industry account for 36% and 37% respectively in terms of energy consumption and greenhouse gas emissions19",decarbonization,emissions',decarbonization,Environmental Sustainability',
,analysis,How has the rate of climate change been observed to increase steadily over the last four decades?,"The rate of climate change has been observed to increase steadily over last four decades due to unsustainable development in the post-industrial revolution era leading to an ever-growing energy demand, greenhouse gas emissions and extreme weather phenomena across all sectors including buildings, transport and industries20",decarbonization,emissions',decarbonization,Environmental Sustainability',
,science&tech,What factors influence buildings share in total energy consumption?,"Factors such as energy source for domestic usage, efficiency of transport network and levels of industrialization influence buildings share in total energy consumption21",decarbonization,renewables' 'roofs',decarbonization,Clean Energy' 'Green Architecture',
,analysis,Why are African countries particularly dependent on bioenergy for their domestic needs?,African countries are particularly dependent on bioenergy for their domestic needs because they tend to have high levels buildings share in total energy consumption at 60%22,decarbonization,gdp',decarbonization,Macroeconomic Indicators',
,taxonomies,Where can people learn about strategies used to improve efficiency within structures while reducing carbon footprints?,People can learn more about both active or passive strategies designed with environmental friendliness and improved efficiency within structures while reducing carbon footprints from modern research articles23,decarbonization,roofs' 'sustainable' 'ecology' 'externalities',decarbonization,"Green Architecture' 'Sustainable Cities' 'Eco-diversity'
 'Behavioral Externalities'",
,strategy,Who is responsible for making people aware about improving performance through better decisions when it comes to structure design/development?,It is important governments create awareness among masses related to necessary steps needed such24,decarbonization,externalities' 'externalities' 'sustainable',decarbonization,Behavioral Externalities' 'Sustainable Investing' 'Sustainable Cities',
,factual,Are energy efficient and environment friendly buildings more costly initially than conventional buildings?,"Yes, energy efficient and environment friendly buildings are usually more costly initially than conventional buildings26",decarbonization,roofs',decarbonization,Green Architecture',
,science&tech,Is it possible to over-invest in a design so that it does not render the building economical throughout its design life?,"Yes, it is possible to over-invest in a design so that it does not render the building economical throughout its design life27",decarbonization,,decarbonization,,
,analysis,How can one estimate Lifecycle Cost for Buildings?,"One way to estimate Lifecycle Cost for Buildings is by understanding how factors such as initial costs, energy consumption levels and carbon footprint impact total project cost over its design life28",decarbonization,"costing' 'roofs' 'emissions' 'renewables' 'carbon' 'ecology' 'gdp'
 'sustainable'",decarbonization,"Cost Analysis' 'Green Architecture' 'Environmental Sustainability'
 'Clean Energy' 'Climate Policy' 'Eco-diversity'
 'Macroeconomic Indicators' 'Sustainable Cities'",
,analysis,Why should optimal level investment be considered when aiming to make an environmentally friendly building?,Optimal level investment should be considered when aiming to make an environmentally friendly building because making too large or small an investment can lead to inefficiently designed structures with higher operational costs or risk creating designs which may not render the present value economical at all during their projected lifespan respectively29,decarbonization,"costing' 'sustainable' 'roofs' 'gdp' 'externalities' 'renewables'
 'ecology' 'emissions'",decarbonization,"Cost Analysis' 'Sustainable Cities' 'Green Architecture'
 'Macroeconomic Indicators' 'Sustainable Investing' 'Clean Energy'
 'Eco-diversity' 'Environmental Sustainability'",
,analysis,What is the significance of considering lifecycle cost as a criterion when awarding building projects?,"The significance of considering lifecycle cost as the criterion is to understand how to estimate the total economic costs incurred over its design life, in order to arrive at an optimal level of investment in energy efficiency and emission 30reduction",decarbonization,"costing' 'emissions' 'renewables' 'gdp' 'externalities' 'carbon'
 'sustainable' 'ecology' 'roofs'",decarbonization,"Cost Analysis' 'Environmental Sustainability' 'Clean Energy'
 'Macroeconomic Indicators' 'Sustainable Investing' 'Climate Policy'
 'Sustainable Cities' 'Eco-diversity' 'Green Architecture'",
,analysis,What are some barriers that hinder the use of lifecycle cost for most projects?,"Some barriers that hinder the use of lifecycle cost for most projects include unavailability of reliable data, divergence in lifecycle costs standards, and lack of awareness among vast majority of population31",decarbonization,costing' 'sustainable' 'ecology' 'externalities' 'vehicles',decarbonization,"Cost Analysis' 'Sustainable Cities' 'Eco-diversity'
 'Behavioral Externalities' 'Automotive Industry'",
,science&tech,Why may initial costs be higher when constructing energy efficient buildings compared to conventional buildings?,Initial costs may be higher when constructing energy efficient buildings compared to conventional buildings due to their increased levels of insulation and additional features such as using renewable sources like solar power or wind turbines which require additional installation components32,decarbonization,roofs' 'renewables' 'costing' 'emissions',decarbonization,"Green Architecture' 'Clean Energy' 'Cost Analysis'
 'Environmental Sustainability'",
,science&tech,How can one avoid designs that result in over-investment in a building project?,One can avoid designs that result in over-investment by arriving at an optimal level of investment required for making a building highly energy efficient and environment friendly while still rendering it economical throughout its design life33,decarbonization,roofs' 'costing' 'renewables' 'sustainable' 'ecology',decarbonization,"Green Architecture' 'Cost Analysis' 'Clean Energy' 'Sustainable Cities'
 'Eco-diversity'",
,science&tech,What should one consider when understanding how to estimate life cycle cost for buildings?,"When understanding how best to estimate life cycle costs for buildings, one should consider factors such as the initial construction costs, maintenance and operating costs as they accumulate over its design life, as well as the recessional value of the building at the end of its purposeful lifespan34",decarbonization,costing' 'roofs' 'ecology',decarbonization,Cost Analysis' 'Green Architecture' 'Eco-diversity',
,strategy,What strategies are popular in North America and Europe for improving energy efficiency and reducing emissions with regard to buildings?,"Both active and passive strategies for improving energy efficiency and reducing emissions in case of buildings are popular in North America and Europe, particularly among Scandinavian countries35",decarbonization,roofs' 'emissions' 'renewables',decarbonization,Green Architecture' 'Environmental Sustainability' 'Clean Energy',
,strategy,What role does climate have in the selection of energy-efficient building methods?,"Buildings in cold climates have to employ strategies which would reduce energy consumed in heating the indoor space, while those with sub-tropical or temperate climates need additional investments for both heating and cooling systems36",decarbonization,roofs' 'ecology' 'renewables',decarbonization,Green Architecture' 'Eco-diversity' 'Clean Energy',
,science&tech,Is there a way that buildings can achieve greater cost savings long term when it comes to selecting an efficient building method?,"Yes, studying the climatic suitability of the proposed investment as well as exploring local construction practices is likely to provide good solutions that help save money over time37",decarbonization,"roofs' 'sustainable' 'externalities' 'renewables' 'costing'
 'externalities' 'ecology'",decarbonization,"Green Architecture' 'Sustainable Cities' 'Behavioral Externalities'
 'Clean Energy' 'Cost Analysis' 'Sustainable Investing' 'Eco-diversity'",
,science&tech,How will climate affect what strategies should be employed when considering an energy efficient building design?,Buildings need different types of energy efficiency strategies according to their respective climates; colder climes have needs related primarily to heating while warmer areas require additional investments for air conditioning during hot summer months 38,decarbonization,roofs' 'renewables' 'emissions' 'ecology' 'sustainable',decarbonization,"Green Architecture' 'Clean Energy' 'Environmental Sustainability'
 'Eco-diversity' 'Sustainable Cities'",
,strategy,Which area has been known for implementing active and passive strategies for improving energy efficiency and reducing emissions on a larger scale?,"Scandinavia and European nations , particularly those located within North America , tend be pioneers when it comes adopting effective ecological methods 39",decarbonization,emissions' 'renewables' 'roofs',decarbonization,Environmental Sustainability' 'Clean Energy' 'Green Architecture',
,strategy,What does high per capita income have to do with the prevalence of active and passive strategies for improving energy efficiency and reducing emissions strategies?,"High per capita income makes initial expense affordable to a majority of population, thus allowing more people to employ such strategies40",decarbonization,emissions' 'gdp' 'roofs' 'renewables',decarbonization,"Environmental Sustainability' 'Macroeconomic Indicators'
 'Green Architecture' 'Clean Energy'",
,strategy,Are there alternative solutions to active and passive strategies for improving energy efficiency and reducing emissions which can be explored?,"Yes, exploring regional Vernacular construction practices may provide good solutions which should be explored as well41",decarbonization,roofs' 'renewables',decarbonization,Green Architecture' 'Clean Energy',
,strategy,Is investing into these building emission reduction methods worth it?,"The answer varies depending on individual cases, but overall the benefits outweigh the added expenses generally since these methods save on long-term costs associated with electricity consumption, etc 44",decarbonization,renewables' 'costing' 'emissions' 'roofs' 'vehicles',decarbonization,"Clean Energy' 'Cost Analysis' 'Environmental Sustainability'
 'Green Architecture' 'Automotive Industry'",
,taxonomies,What is a green or sustainable building?,"Green or sustainable buildings are energy efficient and environment friendly buildings that consume minimum natural resources for their construction and operation throughout their design life, promote reuse, recycling, and utilization of renewable resources, and reduce our dependence on non-renewable resources45",decarbonization,sustainable' 'renewables' 'roofs' 'ecology',decarbonization,Sustainable Cities' 'Clean Energy' 'Green Architecture' 'Eco-diversity',
,ethics & reg,Who defines the standards for green buildings?,The United States Green Building Council USGBC sets the standards for green buildings46,decarbonization,,decarbonization,,
,strategy,What are active strategies to reduce energy consumption in building?,"Active strategies to reduce energy consumption in building include technological improvements to heating, ventilation and air conditioning HVAC, lighting, electrical and plumbing systems 47",decarbonization,roofs' 'renewables',decarbonization,Green Architecture' 'Clean Energy',
,strategy,How do passive strategies contribute towards making a building more energy efficient?,"Passive strategies such as fundamental changes in the building envelope, thermal mass, thermal insulation of a building, and adequate orientation of a building constitute components that make up the building envelope thus making it more efficient48",decarbonization,roofs' 'renewables',decarbonization,Green Architecture' 'Clean Energy',
,ethics & reg,Who defines what is a green or sustainable building?,The United States Green Building Council USGBC sets the standards for green buildings49,decarbonization,sustainable',decarbonization,Sustainable Cities',
,strategy,What are active strategies to reduce energy consumption in building?,"Active strategies to reduce energy consumption in building include technological improvements to heating, ventilation and air conditioning HVAC, lighting, electrical and plumbing systems 50",decarbonization,roofs' 'renewables',decarbonization,Green Architecture' 'Clean Energy',
,strategy,How do passive strategies contribute towards making a building more energy efficient?,"Passive strategies such as fundamental changes in the building envelope, thermal mass, thermal insulation of a building, and the adequate orientation of a building constitute components that make up the building envelope thus making it more efficient51",decarbonization,roofs' 'renewables',decarbonization,Green Architecture' 'Clean Energy',
,science&tech,Can any specific exterior additions be included for optimal performance for the building envelope?,Specific exterior additions like overhang wing walls reflective coated glassy window glazing etcetera can be included tor optimize performance from a building56,decarbonization,roofs',decarbonization,Green Architecture',
,taxonomies,What is a Net Zero Energy building?,"A Net Zero Energy NZE building is able to produce energy that it consumes, through renewable sources, on an annual basis and can even be net positive in some cases where the energy generation exceeds its demand over a year57",decarbonization,renewables' 'roofs' 'emissions',decarbonization,Clean Energy' 'Green Architecture' 'Environmental Sustainability',
,taxonomies,How do NZE buildings reduce emissions in electricity generation?,NZE buildings reduce emissions in electricity generation by producing extra energy during summers and then selling it to the grid and purchasing it back during winters when the solar installation is unable to meet the demand58,decarbonization,renewables' 'emissions' 'roofs',decarbonization,Clean Energy' 'Environmental Sustainability' 'Green Architecture',
,taxonomies,How do NZE buildings reduce emissions in electricity generation?,NZE buildings reduce emissions in electricity generation by producing extra energy during summers and then selling it to the grid and purchasing it back during winters when the solar installation is unable to meet the demand59,decarbonization,renewables' 'emissions' 'roofs',decarbonization,Clean Energy' 'Environmental Sustainability' 'Green Architecture',
,taxonomies,What distinguishes passive buildings from NZE buildings?,The key difference between passive and NZE buildings is that reduction of energy consumption in buildings is rarely the aim of NZE whereas passive buildings focus on lowering their energy consumption by exploring changes in their building envelopes such as insulation etc60,decarbonization,roofs' 'renewables',decarbonization,Green Architecture' 'Clean Energy',
,strategy,Why are Passive Buildings considered real solutions to environmental pollution?,Passive Buildings are considered real solutions to environmental pollution due to their low-energy footprints which result from lower emission levels contributing towards curbing climate change effects significantly better than other forms of energies like fossil fuels etc61,decarbonization,"emissions' 'roofs' 'renewables' 'vehicles' 'ecology' 'carbon'
 'externalities'",decarbonization,"Environmental Sustainability' 'Green Architecture' 'Clean Energy'
 'Automotive Industry' 'Eco-diversity' 'Climate Policy'
 'Behavioral Externalities'",
,strategy,What type of benefits do occupants gain when staying inside a passive building?,Occupants experience improved comfort levels as well as elevated moods while occupying space within a passive Building due so its natural ability to provide considerable thermal stability throughout various climatic conditions & time periods with lesser need for external heating or cooling devices installed therein62,decarbonization,roofs',decarbonization,Green Architecture',
,factual,What are the tangible components of a building envelope?,The most prominent tangible components of a building envelope are walls and roofs63,decarbonization,roofs',decarbonization,Green Architecture',
,science&tech,How does the aspect ratio of buildings affect passive building design?,"In case of passive buildings, the aspect ratio of buildings determines their relative significance; while typical squat buildings have relatable significance for both walls and roofs, walls in high-rise buildings become more significant than its roof64",decarbonization,roofs',decarbonization,Green Architecture',
,science&tech,What kind of materials were traditionally used to construct walls in Indian subcontinent?,"Traditionally, walls in Indian subcontinent were constructed using stones, mud and/or adobe which had poor thermal conductivity and absorption capacity but with urbanization this has been replaced with concrete or masonry walling material such as brickwork or blockwork etcetera that tend to absorb a lot of heat and emit it slowly leading to overheated indoor spaces in tropical regions during summers65",decarbonization,roofs' 'ecology',decarbonization,Green Architecture' 'Eco-diversity',
,taxonomies,What is cavity walling and why is it used often for construction purposes?,"Cavity Walls comprise two masonry wythes/skins external & internal separated by an air cavity which makes them also known as double skin or ventilated cavities Such cavity walls provide improved insulation through increased width air cavities up until 150mm, whilst their performance is characterized by R-value due to the roughness & thermal resistance between layers influencing performance efficacy greatly66",decarbonization,roofs',decarbonization,Green Architecture',
,science&tech,How can daylight enter a building through use walls effectively?,"At times when appropriately designed ,walls can be effective instruments at allowing light entry into interiors thus providing illumination so users dont need artificial resources all the time; typically skylights integrated within facade designs , either flush finished / protruding outwards enable maximum penetration whilst controlling temperature gain via solar radiation67",decarbonization,roofs' 'renewables',decarbonization,Green Architecture' 'Clean Energy',
,science&tech,What type of concrete is used for thermal insulation in walls?,Lightweight concrete with a mass density around 1400kg/m3 is used for thermal insulation in walls and has significantly lower strength compared to regular construction concrete69,decarbonization,roofs',decarbonization,Green Architecture',
,science&tech,How can lightweight concrete be made?,"Lightweight concrete can be made by using lightweight aggregates and/or entrainment of air, such as aluminum powder for autoclaved aerated concrete AAC70",decarbonization,,decarbonization,,
,science&tech,Where can suitable aggregates for making lightweight aggregate be found?,Suitable aggregates for making lightweight aggregate can be found from natural materials or industrial by-products71,decarbonization,,decarbonization,,
,science&tech,What is the most commonly used wall technology in passive buildings?,The most commonly used wall technology in passive buildings is a passive solar wall72,decarbonization,roofs',decarbonization,Green Architecture',
,factual,What improvement has been recently made to Trombe walls to increase their efficacy?,"Recent improvements for increased efficacy for Trombe walls include adding a glazing on the outer side of the wall, insulating them, attaching photovoltaic cells between concrete walls and glazings, PCM based designs, and fluidized walls with highly absorbing particles74",decarbonization,roofs',decarbonization,Green Architecture',
,science&tech,How can energy stored by PV cell arrays be used in Trombe walls?,Energy stored by PV cell arrays can be used for indoor lighting purposes leading to reduction in energy demand from grids75,decarbonization,renewables' 'roofs',decarbonization,Clean Energy' 'Green Architecture',
,science&tech,What type of climate do Passive Solar Walls suit best?,Passive Solar Walls are designed to absorb solar radiation and thereby suit cold climatic zones better than tropical zones due to potential overheating issues76,decarbonization,roofs' 'renewables',decarbonization,Green Architecture' 'Clean Energy',
,science&tech,Are Isolated Trombe Walls insulated permanently or operably?,Isolated Trombe Walls may be adequately insulated resulting into isolated Trombe walls; however this insulation may be either a permanent fixture or an operable solar shield77,decarbonization,roofs',decarbonization,Green Architecture',
,science&tech,Does adding insulation prevent overheating in tropical climates using Passive Solar Wall technology?,"Yes, adding adequate insulation prevents potential overheating issues when using Passive Solar Wall technology in tropical climates78",decarbonization,roofs' 'renewables',decarbonization,Green Architecture' 'Clean Energy',
,science&tech,What is the traditional roof construction in Indian subcontinent?,The traditional roof construction in Indian subcontinent used burnt clay units with mud mortar covered with a layer of terracotta tiles79,decarbonization,,decarbonization,,
,science&tech,How does using concrete slabs to build a roof affect energy consumption?,"Using concrete slabs to build a roof has high solar absorption and longer heat retaining capacity, which tends to overheat the dwelling spaces in summers, and in turn increase energy consumption by HVAC systems80",decarbonization,roofs' 'renewables' 'ecology',decarbonization,Green Architecture' 'Clean Energy' 'Eco-diversity',
,science&tech,What modifications have been attempted on roofs in order to reduce energy consumption?,"Modifications such as roof shadings, roof coatings or compound roof systems have been attempted 63,64,65 on roofs in order to reduce energy consumption81",decarbonization,roofs' 'renewables',decarbonization,Green Architecture' 'Clean Energy',
,science&tech,What type of insulation layer can be used for aluminium standing seam roofs?,"The insulation layer for aluminium standing seam roofs can be composed of glass fibre, polyurethane, polystyrene or a mix of these depending on the climatic zone of application82",decarbonization,roofs',decarbonization,Green Architecture',
,science&tech,What is the potential for lowering energy demand with ventilated roofs according to research studies?,Research studies suggest that ventilated roofs have potential to lower energy demand by 30%83,decarbonization,roofs' 'renewables' 'externalities' 'emissions',decarbonization,"Green Architecture' 'Clean Energy' 'Behavioral Externalities'
 'Environmental Sustainability'",
,science&tech,Is natural ventilation possible with ventilated rooftops?,Yes Ventilated rooftops can provide both natural or forced ventilation depending on local climate conditions84,decarbonization,roofs',decarbonization,Green Architecture',
,science&tech,Do transwall structures require heating and illumination only or other factors too are taken into account?,Transwall structures require both heating and illumination but also consider other factors such as incident solar radiation absorbed by water and translucent glass pane while causing heating & illumination of indoor environment85,decarbonization,roofs',decarbonization,Green Architecture',
,science&tech,How do cavity walls help regulate temperature indoors?,Cavity walls composed two slabs having air cavity between them helps limit heat transfer across the wall thus regulating temperature indoors 86,decarbonization,roofs',decarbonization,Green Architecture',
,science&tech,What is the most common orientation of vaults in hot and arid climates?,North-south87,decarbonization,,decarbonization,,
,science&tech,What layers make up a green roof from bottom to top?,"Conventional roof, waterproofing membrane, drainage, root barrier layer, soil and vegetation90",decarbonization,,decarbonization,,
,science&tech,What is an alternative method for achieving evaporative roof cooling besides ponding the roof?,Using hessian/jute bags soaked in water 92,decarbonization,roofs',decarbonization,Green Architecture',
,science&tech,What determines the efficacy of these roofs?,Coating thickness93,decarbonization,,decarbonization,,
,science&tech,Does transforming an existing ceiling into a green rooftop require any additional load on structures?,"No , not usually 94",decarbonization,roofs',decarbonization,Green Architecture',
,science&tech,What type of roofs can be used to produce renewable solar energy?,Photovoltaic PV roofs95,decarbonization,renewables' 'roofs',decarbonization,Clean Energy' 'Green Architecture',
,science&tech,What is U-value used for in relation to openings?,"U-value is used for characterizing the thermal insulation of openings, mathematically reciprocal of R-value for walls and roofs97",decarbonization,roofs',decarbonization,Green Architecture',
,science&tech,How does light absorbing suspended particles work between glass panes?,Light absorbing suspended particles align in a defined orientation between glass panes to prevent heat and light exchange when triggered by a switch99,decarbonization,,decarbonization,,
,science&tech,How do recently constructed photovoltaic roofs work?,"Recently constructed photovoltaic PV roofs typically comprise of PV roof tiles or modules and act as thermal shields, producing electricity from renewable solar energy100",decarbonization,roofs' 'renewables',decarbonization,Green Architecture' 'Clean Energy',
,science&tech,What types of glazing technologies have been developed in recent decades for buildings?,"Recent decades have witnessed the advent of numerous glazing technologies such as solar control glass panes, insulating glass panes, low emissivity and reflective coatings, vacuum glazing and gas-filled glazing systems101",decarbonization,roofs',decarbonization,Green Architecture',
,science&tech,What are U-values and R-values related to insulation?,U-values measure thermal insulation whereas R values indicate thermal resistance higher R-value indicates better thermal resistance while lower U-value implies better thermal insulation 104,decarbonization,roofs',decarbonization,Green Architecture',
,science&tech,Are edge effects more prominent when using smaller sized openings?,"Yes , edge effects become more dominant when dealing with smaller size doorways or other kinds of opening 106",decarbonization,,decarbonization,,
,science&tech,In what ways does proper sealing around doors & window frames add value besides achieving optimal performance from their respective materials?,"Properly sealed door & window frames will not only provide optimal performance but also significantly improve aesthetics alongwith providing access, aiding ventilation & creating thermo comfort107",decarbonization,roofs',decarbonization,Green Architecture',
,science&tech,What is the process of converting future costs to their present value equivalents?,This process is called discounting and is achieved using an equation which calculates compound interest and forms the basis of the discounting process108,decarbonization,costing',decarbonization,Cost Analysis',
,taxonomies,How should one distinguish between discount rate and rate of inflation?,Discount rate refers to investors minimum acceptable rate of return and should not be confused with rate of inflation which refers to increase in prices for goods over time due to money supply growth or other economic changes109,decarbonization,gdp' 'costing',decarbonization,Macroeconomic Indicators' 'Cost Analysis',
,taxonomies,Are lifecycle cost estimations computed or estimated?,Lifecycle cost estimations are estimated rather than computed since expected rates of return instead actual returns are used in calculations owing investor's need for minimum desired returns from investments made elsewhere too110,decarbonization,costing',decarbonization,Cost Analysis',
,taxonomies,Are lifecycle cost estimations computed or estimated?,Lifecycle cost estimations are estimated rather than computed since expected rates of return instead actual returns are used in calculations owing investor's need for minimum desired returns from investments made elsewhere too111,decarbonization,costing',decarbonization,Cost Analysis',
,taxonomies,Are lifecycle cost estimations computed or estimated?,Lifecycle cost estimations are estimated rather than computed since expected rates of return instead actual returns are used in calculations owing investor's need for minimum desired returns from investments made elsewhere too112,decarbonization,costing',decarbonization,Cost Analysis',
,management,What two parts can study period for LCC usually be divided into?,The study period for LCC typically consists of a planning-construction period as well as a service period113,decarbonization,,decarbonization,,
,management,What is the planning-construction period?,The planning-construction period spans from base date to service date114,decarbonization,,decarbonization,,
,taxonomies,What does base date refer to?,Base date refers to the instant to which all the costs are discounted in LCC analysis115,decarbonization,costing',decarbonization,Cost Analysis',
,management,What is included in OM&R costs?,"Operating, Maintenance and Repair Costs OM&R include energy consumption by a building as an operating cost and are spread through the service period of a building116",decarbonization,costing' 'roofs',decarbonization,Cost Analysis' 'Green Architecture',
,strategy,How can one determine investment routine and habits of an investor?,Investment routines and habits of an investor can be determined by considering how much time they allocated for their investments or analyzing historical trends or patterns of their investments117,decarbonization,externalities',decarbonization,Sustainable Investing',
,management,How many periods are considered when estimating LCC?,Two periods - Planning-Construction Period & Service Period are considered when estimating Life Cycle Costing LCC118,decarbonization,costing',decarbonization,Cost Analysis',
,analysis,What is considered while determining discount rate used in LCC Analysis?,The discount rate used in Life Cycle Costing Analysis takes into account investors' minimum acceptable rate of return & opportunity loss due to early investment instead of investing it elsewhere119,decarbonization,costing' 'gdp' 'externalities',decarbonization,Cost Analysis' 'Macroeconomic Indicators' 'Sustainable Investing',
,strategy,Why study period should be same for different design alternatives being compared?,Study period should remain same for different design alternatives being compared because it gives unbiased results while comparing various options available120,decarbonization,,decarbonization,,
,factual,Is there any upper limit on discount rates fixed by agencies?,"Yes, some agencies in United States recommend lower and upper limits on discount rates 121",decarbonization,,decarbonization,,
,factual,Does scrap value from decommissioning at end of study period count towards benefits?,"Yes , scrap value from Decommissioning counts towards benefits or negative costs at end of the study period 122",decarbonization,costing',decarbonization,Cost Analysis',
,taxonomies,Can initial cost construction/investment lumped at base date if comparison between long term & short term plans needed?,"Yes, If comparison between long term & short term plans required then initial cost construction/investment can be lumped at base dates for obtaining desired results faster 123",decarbonization,costing',decarbonization,Cost Analysis',
,taxonomies,What is the planning-construction period?,The planning-construction period spans from base date to service date124,decarbonization,,decarbonization,,
,analysis,How long is the service period of a building that's considered for an LCC analysis?,"he service period spans from the service date till the end of study period, and is also called beneficial occupancy period126",decarbonization,costing',decarbonization,Cost Analysis',
,taxonomies,Is discount rate used in an LCC estimate meant as rate of inflation?,"No, discount rate should not be confused with rate of inflation; it reflects expected rate of return had one invested their money elsewhere in open markets instead128",decarbonization,costing',decarbonization,Cost Analysis',
,strategy,How can initial investment Invest be distributed over own time frame concerning LCC estimations?,Initial cost of construction and/or investment Invest can either be distributed over planning-construction period or lumped at its base date if such duration comparison will be foreshortened depending on analysts judgement 129,decarbonization,costing',decarbonization,Cost Analysis',
,science&tech,Does Decommissioning Costs Include Demolition And Disposal Expenses Or Only Scrap Value Of Building At Study Period End Count As Benefits?,Both Demolition And Disposal Expenses Attract Costs While Scrap Value Of Building At Study Period End Counts Towards Benefits Or Negative Cost In An L C C Analysis 131,decarbonization,costing',decarbonization,Cost Analysis',
,science&tech,What General Expression Is Used To Estimate Present Value Of Lowest Cost Strategy Analysis?,"The General Expression For Estimating Lowest Total Cost LTC, Also Referred To As Life Cycle CostLccIs Summariesd In Equation 3 Where N Represnts Study Period In Years132",decarbonization,costing',decarbonization,Cost Analysis',
,science&tech,Are electricity and water considered part of operations for the purpose of calculating LCC?,"Yes, electricity and water are usually counted as part of operations in order to be included in OM&R costs when calculating LCC135",decarbonization,costing',decarbonization,Cost Analysis',
,science&tech,What is rate escalation when it comes to energy expenses over time?,Rate escalation refers to an expected increase in a recurring cost over the years due changes such like increases in grid prices or changing energy sources from nonrenewable fossil fuels to renewable solar power136,decarbonization,renewables' 'emissions' 'costing' 'roofs' 'ecology',decarbonization,"Clean Energy' 'Environmental Sustainability' 'Cost Analysis'
 'Green Architecture' 'Eco-diversity'",
